nama_kabupaten_kota,kode_kabupaten_kota_x,2024,2025,change_abs,change_pct,pattern_sudden_appearance,pattern_sudden_disappearance,pattern_extreme_increase,pattern_extreme_decrease,anomaly_flag,signature_type,kode_kabupaten_kota_y,poverty_rate,population,hdi,unemployment_rate,avg_income,latitude,longitude,recipients_per_capita,coverage_ratio,mismatch_indicator,volatility_score,high_risk_population,low_hdi
KABUPATEN BANGKALAN,3526,1033,769,-264,-25.556631171345597,0,0,0,0,0,Normal,3526,0.0513904261062381,1301950.1624293395,72.12858119319179,0.1397837268264538,4670016.0254527,-8.26534443599337,111.09278958689568,0.0005906519554582262,0.011493261024475255,0,0.25556631171345595,0,0
KABUPATEN BANYUWANGI,3510,1162,5380,4218,362.9948364888124,0,0,1,0,1,C: Extreme Increase,3510,0.2359395304685146,2770664.7149166344,70.59301156712013,0.1467612665702934,4632119.215783866,-7.689047317584841,112.72065556290892,0.0019417716006067795,0.008229944881202806,0,3.629948364888124,1,1
KABUPATEN BLITAR,3505,929,965,36,3.8751345532831003,0,0,0,0,0,Normal,3505,0.2011102277086097,592217.368386332,77.54678706761962,0.0981970324002566,2291529.4813123057,-8.176268458754736,111.1425508081164,0.001629466513558872,0.008102300923705726,0,0.038751345532831,0,0
KABUPATEN BOJONEGORO,3522,932,1072,140,15.021459227467812,0,0,0,0,0,Normal,3522,0.0955870325083883,2083824.2769022367,72.84063292308575,0.1074566755088601,4394885.536900326,-7.246029819231691,113.30542771066632,0.0005144385241326992,0.0053818616900244915,0,0.15021459227467812,1,0
KABUPATEN BONDOWOSO,3511,860,5064,4204,488.8372093023256,0,0,1,0,1,C: Extreme Increase,3511,0.2116240759128834,1098904.7266674312,64.83704581800903,0.0771717269600112,4222305.8532626135,-7.54385514775269,112.65715119773198,0.004608220593551016,0.021775428677312848,0,4.888372093023256,0,1
KABUPATEN GRESIK,3525,836,926,90,10.76555023923445,0,0,0,0,0,Normal,3525,0.2221461166512687,2588256.238973095,77.97108377054158,0.1444714292403104,4387378.008308303,-8.240058519893731,113.2484674737221,0.0003577696938529168,0.0016105130048436039,0,0.1076555023923445,1,0
KABUPATEN JEMBER,3509,859,306,-553,-64.37718277066357,0,0,0,1,1,D: Extreme Decrease,3509,0.0822442574508008,1196616.1605915288,71.10401623198925,0.05927875720549,3554988.9570912104,-7.702968052647778,111.34241956227852,0.0002557208855744086,0.0031092566074475635,0,0.6437718277066357,0,0
KABUPATEN JOMBANG,3517,696,1279,583,83.76436781609196,0,0,0,0,0,Normal,3517,0.1578684483831301,2404049.038321794,66.98419149225322,0.0891021232582636,4430340.184037542,-8.093751623106888,111.15856403420216,0.0005320188763179145,0.0033700064912499175,0,0.8376436781609197,1,1
KABUPATEN KEDIRI,3506,929,909,-20,-2.1528525296017222,0,0,0,0,0,Normal,3506,0.0957596330983245,2023910.834949742,65.15883255430312,0.0412409721393711,3845021.680097509,-7.5656642862715,113.99411204403852,0.0004491302359633528,0.004690161459147656,0,0.02152852529601722,1,1
KABUPATEN LAMONGAN,3524,572,269,-303,-52.972027972027966,0,0,0,1,1,D: Extreme Decrease,3524,0.2136029531844986,725724.4251360208,63.23257428189228,0.1428550301223497,4105900.63177311,-7.886570583378595,111.24699061590152,0.0003706636018017173,0.0017352836930387197,0,0.5297202797202797,0,1
KABUPATEN LUMAJANG,3508,1230,784,-446,-36.260162601626014,0,0,0,0,0,Normal,3508,0.1079502905827536,628696.8781249734,76.34444400402433,0.061824284121807,2420252.0457095723,-8.42247741824709,112.65960840180564,0.001247021864203199,0.011551663890795838,0,0.3626016260162601,0,0
