nama_kabupaten_kota,kode_kabupaten_kota_x,2024,2025,change_abs,change_pct,pattern_sudden_appearance,pattern_sudden_disappearance,pattern_extreme_increase,pattern_extreme_decrease,anomaly_flag,signature_type,kode_kabupaten_kota_y,poverty_rate,population,hdi,unemployment_rate,avg_income,latitude,longitude,recipients_per_capita,coverage_ratio,mismatch_indicator,volatility_score,high_risk_population,low_hdi,rule_score,stat_score,spatial_score,hybrid_risk_score,risk_category
KABUPATEN BANGKALAN,3526,1033,769,-264,-25.5566311713456,0,0,0,0,0,Normal,3526,0.0513904261062381,1301950.1624293395,72.12858119319179,0.1397837268264538,4670016.0254527,-8.26534443599337,111.09278958689568,0.0005906519554582,0.0114932610244752,0,0.2555663117134559,0,0,0.0,0.251791945447031,0.02921448800119243,0.10948112457917013,LOW
KABUPATEN BANYUWANGI,3510,1162,5380,4218,362.9948364888124,0,0,1,0,1,C: Extreme Increase,3510,0.2359395304685146,2770664.7149166344,70.59301156712013,0.1467612665702934,4632119.215783866,-7.689047317584841,112.72065556290892,0.0019417716006067,0.0082299448812028,0,3.629948364888124,1,1,0.2,0.7057763290519767,0.6556863914145178,0.5390164490451461,MEDIUM
KABUPATEN BLITAR,3505,929,965,36,3.8751345532831,0,0,0,0,0,Normal,3505,0.2011102277086097,592217.368386332,77.54678706761962,0.0981970324002566,2291529.4813123057,-8.176268458754736,111.1425508081164,0.0016294665135588,0.0081023009237057,0,0.038751345532831,0,0,0.0,0.13917213933649175,0.0,0.055668855734596706,LOW
KABUPATEN BOJONEGORO,3522,932,1072,140,15.021459227467812,0,0,0,0,0,Normal,3522,0.0955870325083883,2083824.2769022367,72.84063292308575,0.1074566755088601,4394885.536900326,-7.246029819231691,113.30542771066632,0.0005144385241326,0.0053818616900244,0,0.1502145922746781,1,0,0.0,0.0,0.013563869429125054,0.004069160828737516,LOW
KABUPATEN BONDOWOSO,3511,860,5064,4204,488.8372093023256,0,0,1,0,1,C: Extreme Increase,3511,0.2116240759128834,1098904.7266674312,64.83704581800903,0.0771717269600112,4222305.8532626135,-7.54385514775269,112.65715119773198,0.004608220593551,0.0217754286773128,0,4.888372093023256,0,1,0.2,0.7906335722201598,0.6085854821881055,0.5588290735444956,MEDIUM
KABUPATEN GRESIK,3525,836,926,90,10.76555023923445,0,0,0,0,0,Normal,3525,0.2221461166512687,2588256.238973095,77.97108377054158,0.1444714292403104,4387378.008308303,-8.240058519893731,113.2484674737221,0.0003577696938529,0.0016105130048436,0,0.1076555023923445,1,0,0.0,0.09877819624693984,0.005813086898196452,0.04125520456823488,LOW
KABUPATEN JEMBER,3509,859,306,-553,-64.37718277066357,0,0,0,1,1,D: Extreme Decrease,3509,0.0822442574508008,1196616.1605915288,71.10401623198925,0.05927875720549,3554988.9570912104,-7.702968052647778,111.34241956227852,0.0002557208855744,0.0031092566074475,0,0.6437718277066357,0,0,0.1,0.17740918064550137,0.09822626322849902,0.13043155122675026,LOW
KABUPATEN JOMBANG,3517,696,1279,583,83.76436781609196,0,0,0,0,0,Normal,3517,0.1578684483831301,2404049.038321794,66.98419149225322,0.0891021232582636,4430340.184037542,-8.093751623106888,111.15856403420216,0.0005320188763179,0.0033700064912499,0,0.8376436781609197,1,1,0.0,0.10402651427040932,0.0444179460426293,0.05493598952095252,LOW
KABUPATEN KEDIRI,3506,929,909,-20,-2.1528525296017222,0,0,0,0,0,Normal,3506,0.0957596330983245,2023910.834949742,65.15883255430312,0.0412409721393711,3845021.680097509,-7.5656642862715,113.99411204403852,0.0004491302359633,0.0046901614591476,0,0.0215285252960172,1,1,0.0,0.10830917706680565,0.008346996571769265,0.04582776979825304,LOW
KABUPATEN LAMONGAN,3524,572,269,-303,-52.972027972027966,0,0,0,1,1,D: Extreme Decrease,3524,0.2136029531844986,725724.4251360208,63.23257428189228,0.1428550301223497,4105900.63177311,-7.886570583378595,111.24699061590152,0.0003706636018017,0.0017352836930387,0,0.5297202797202797,0,1,0.1,0.17249227448103088,0.10374124310627515,0.1301192827242949,LOW
KABUPATEN LUMAJANG,3508,1230,784,-446,-36.260162601626014,0,0,0,0,0,Normal,3508,0.1079502905827536,628696.8781249734,76.34444400402433,0.061824284121807,2420252.0457095723,-8.42247741824709,112.65960840180564,0.0012470218642031,0.0115516638907958,0,0.3626016260162601,0,0,0.0,0.1978203867082653,0.026978685348039943,0.08722176028771811,LOW
KABUPATEN MADIUN,3519,727,1209,482,66.29986244841815,0,0,0,0,0,Normal,3519,0.2292182599846986,2320540.871529649,77.94220519905154,0.1166942538313806,4739721.657669414,-8.382315427986601,113.19050970499984,0.0005209990023593,0.0022729351816265,0,0.6629986244841816,1,0,0.0,0.10921466074940289,0.03398420032791772,0.05388112439813647,LOW
KABUPATEN MAGETAN,3520,576,1052,476,82.63888888888889,0,0,0,0,0,Normal,3520,0.1136006949943727,1419457.831798133,77.74172848530235,0.0636926834929026,3534027.1965828133,-8.461973884876814,112.7609769050303,0.0007411275173562,0.0065239340607779,0,0.8263888888888888,0,0,0.0,0.12538358507408298,0.010582799224921747,0.05332827379710972,LOW
KABUPATEN MALANG,3507,1473,556,-917,-62.25390359809912,0,0,0,1,1,D: Extreme Decrease,3507,0.0653959819657586,1756697.5580721537,73.19968092068358,0.074125896367132,4970161.550312789,-8.371978802509348,113.46280250783008,0.0003165027929493,0.0048397502197723,0,0.6225390359809911,1,0,0.1,0.20499332507445822,0.060962885675957666,0.13028619573257058,LOW
KABUPATEN MOJOKERTO,3516,831,761,-70,-8.42358604091456,0,0,0,0,0,Normal,3516,0.2285117996979955,2180338.868514696,66.78059582097401,0.099228466155163,4428083.4664355405,-7.307220707846945,113.22282777803676,0.000349028154275,0.0015273942714793,0,0.0842358604091456,1,1,0.0,0.050135175938215815,0.03040691608287375,0.02917614520014845,LOW
KABUPATEN NGANJUK,3518,1094,240,-854,-78.06215722120659,0,1,0,1,1,B: Sudden Disappearance,3518,0.2114880310328125,1094093.859980999,74.5191135774048,0.0534291585357653,4601216.955740311,-7.841542868941546,112.31114415119264,0.0002193594072859,0.0010372154806849,0,0.7806215722120659,0,0,0.4,0.3176659377860447,0.10806379490236995,0.27948551358512885,LOW
KABUPATEN NGAWI,3521,1439,1198,-241,-16.74774148714385,0,0,0,0,0,Normal,3521,0.0720103849055353,2080764.5764839489,75.59751091715248,0.0329179159717744,3504548.884061599,-7.056027377983113,113.99771444415912,0.0005757496248204,0.0079953198387346,0,0.1674774148714385,1,0,0.0,0.2795377275856872,0.0323446117156059,0.12151847454895665,LOW
KABUPATEN PACITAN,3501,1149,601,-548,-47.693646649260224,0,0,0,0,0,Normal,3501,0.1517141382329405,1129455.7395634104,62.75041888291987,0.1195789686141629,3670403.7873750506,-7.9597140378831055,113.65246138662528,0.0005321142270861,0.0035073302928814,0,0.4769364664926022,0,1,0.0,0.08281024284494287,0.054255477716500224,0.049400740452927215,LOW
KABUPATEN PAMEKASAN,3528,1112,5730,4618,415.2877697841727,0,0,1,0,1,C: Extreme Increase,3528,0.1334822006297558,601937.8538869098,62.02943085732064,0.031854793983464,3126748.857919832,-7.6761600029408195,114.29080584498736,0.009519239309773,0.0713139025677025,0,4.152877697841727,0,1,0.2,1.0,0.7078551199880758,0.6723565359964228,HIGH
KABUPATEN PASURUAN,3514,426,917,491,115.25821596244133,0,0,0,0,0,Normal,3514,0.2107344153798229,2964126.135276501,78.00836114326661,0.1253773564249978,3078473.4536592653,-7.725549477548207,112.3947665703908,0.000309365947596,0.0014680352810005,0,1.1525821596244132,1,0,0.0,0.24562034611396366,0.007154568490087941,0.10039450899261185,LOW
KABUPATEN PONOROGO,3502,958,1059,101,10.542797494780794,0,0,0,0,0,Normal,3502,0.2315132947852186,1743121.2647309636,66.82132702100517,0.1079559478856657,4808464.322482343,-8.309409231022173,111.05037721020416,0.0006075305338168,0.0026241662599536,0,0.1054279749478079,1,1,0.0,0.048478242464899735,0.011626173796392905,0.022879149124877766,LOW
KABUPATEN PROBOLINGGO,3513,1072,986,-86,-8.022388059701493,0,0,0,0,0,Normal,3513,0.2242921180375435,1723631.9006939076,77.94431515906653,0.1057366351196715,4107452.251961328,-7.036221880806198,112.51848077233292,0.0005720475627977,0.002550452597225,0,0.0802238805970149,1,0,0.0,0.029227133548120676,0.0007452675510508273,0.011914433684563519,LOW
KABUPATEN SAMPANG,3527,654,1363,709,108.4097859327217,0,0,0,0,0,Normal,3527,0.1521494605155131,966296.2759996356,60.18394103233259,0.0744190440306533,3013985.4705546075,-8.124635652753106,113.05021453445713,0.0014105390068392,0.0092706925660464,0,1.084097859327217,0,1,0.0,0.26149420785660227,0.0569384409002832,0.12167921541272587,LOW
KABUPATEN SIDOARJO,3515,482,531,49,10.16597510373444,0,0,0,0,0,Normal,3515,0.0873140117772071,1105138.178778751,72.66202914546535,0.090316451172623,2880775.53279348,-8.015565290588132,113.15547534318276,0.0004804824679067,0.0055028730617846,0,0.1016597510373444,0,0,0.0,0.02899711794712645,0.0646892234312118,0.03100561420821412,LOW
KABUPATEN SITUBONDO,3512,860,884,24,2.7906976744186047,0,0,0,0,0,Normal,3512,0.1766807513020847,862237.1802280578,61.86205535611799,0.1370455866212536,4091047.222985804,-7.410862999416008,111.60620654468504,0.0010252387568434,0.0058027442630994,0,0.027906976744186,0,1,0.0,0.09033508967474857,0.0120733343270234,0.03975603616800645,LOW
KABUPATEN SUMENEP,3529,819,7690,6871,500.0,0,0,1,0,1,C: Extreme Increase,3529,0.094421562094146,1977232.3579706044,73.27003538216111,0.141398227510527,2281945.819522607,-7.428106115949906,113.01415962256556,0.0038892728412658,0.0411903159588425,1,5.0,1,0,0.5,0.9347418644784318,1.0,0.8238967457913726,HIGH
KABUPATEN TRENGGALEK,3503,1194,1221,27,2.261306532663317,0,0,0,0,0,Normal,3503,0.0998584458297749,1252195.7745419242,62.26947042481178,0.1319068092593013,4088089.390024919,-7.716635109917793,111.4062542417742,0.0009750863640793,0.0097646156685468,0,0.0226130653266331,0,1,0.0,0.07418053939184355,0.035772842450439706,0.04040406849186933,LOW
KABUPATEN TUBAN,3523,1020,949,-71,-6.96078431372549,0,0,0,0,0,Normal,3523,0.1354215577252512,1839436.710186896,61.68279929990098,0.0512532815288458,3949891.792333296,-7.456038690859453,111.570270494785,0.0005159185302902,0.0038097090914074,0,0.0696078431372549,1,1,0.0,0.04080399517903954,0.0023848561633626475,0.01703705492062461,LOW
KABUPATEN TULUNGAGUNG,3504,1456,1051,-405,-27.815934065934066,0,0,0,0,0,Normal,3504,0.1320765846071259,1212101.235943669,78.49387236557126,0.1089135470760412,3710183.510268095,-7.345009670352084,111.16100924707614,0.000867088574572,0.0065650082964367,0,0.2781593406593406,0,0,0.0,0.037511468206585574,0.01043374571471158,0.018134710997047703,LOW
KOTA BATU,3579,412,1312,900,218.4466019417476,0,0,1,0,1,C: Extreme Increase,3579,0.2424894589884222,2841824.9718418363,66.50799396318536,0.0503391296023311,4467801.681978975,-7.966040982023108,111.68526897176254,0.000461674998047,0.0019038950908426,0,2.184466019417476,1,1,0.2,0.5714856090600162,0.04933671187956477,0.3033952571878759,MEDIUM
KOTA BLITAR,3572,819,1448,629,76.80097680097681,0,0,0,0,0,Normal,3572,0.1175230342807256,541469.5723196404,63.21616102834997,0.1459985782852403,2107826.8213902265,-8.080099154581086,113.25150876454823,0.002674198883601,0.022754363137417,0,0.7680097680097682,0,1,0.0,0.46955221500489985,0.06960798926814726,0.20870328278240413,LOW
KOTA KEDIRI,3571,912,223,-689,-75.5482456140351,0,0,0,1,1,D: Extreme Decrease,3571,0.0739730734667365,2193910.904605706,60.10123167692437,0.0813820977980777,3734840.422988522,-7.509703934923403,112.35859474172284,0.000101644919986,0.0013740721487048,0,0.7554824561403509,1,1,0.1,0.32005840659719254,0.11059770457594277,0.19120267401165983,LOW
KOTA MADIUN,3577,633,981,348,54.976303317535546,0,0,0,0,0,Normal,3577,0.1227259204758588,2227344.3452561647,74.24358442695072,0.1321364005820228,2091500.7498171483,-7.870599906358315,114.3641669733837,0.0004404346196647,0.0035887545554442,0,0.5497630331753555,1,0,0.0,0.061068717305552855,0.0,0.024427486922221145,LOW
KOTA MALANG,3573,1555,1101,-454,-29.19614147909968,0,0,0,0,0,Normal,3573,0.2385819407825038,1780232.6457482025,70.97467578733172,0.1456343972507103,3396794.0543973804,-7.067702079005208,112.6038851167203,0.0006184581460021,0.0025922206654168,0,0.2919614147909968,1,1,0.0,0.1400901293275787,0.017886421225219853,0.06140197809859744,LOW
KOTA MOJOKERTO,3576,1246,880,-366,-29.373996789727126,0,0,0,0,0,Normal,3576,0.1906037917790355,935916.0725124786,64.4853861892112,0.076211727432231,3772499.7817070326,-7.582418880648472,112.35135923230273,0.0009402542445749,0.0049330077311376,0,0.2937399678972712,0,1,0.0,0.09838273924328234,0.012669548367864063,0.043153960207672155,LOW
KOTA PASURUAN,3575,682,723,41,6.011730205278592,0,0,0,0,0,Normal,3575,0.1537581243486732,2112931.9760236247,73.03922519005201,0.0653338670483502,2859623.7563848533,-7.668468921232899,114.29512683071783,0.0003421783881477,0.0022254271005243,0,0.0601173020527859,1,0,0.0,0.027623930118026996,0.036070949470860036,0.021870856888468806,LOW
KOTA PROBOLINGGO,3574,995,2011,1016,102.11055276381909,0,0,0,0,0,Normal,3574,0.114640586404151,1066239.4379948447,73.83790395385387,0.1323611346560832,3627933.90412273,-7.393154624956347,112.90965876260576,0.001886066152004,0.0164518740722284,0,1.0211055276381908,0,0,0.0,0.34526517634119047,0.1535251155164704,0.1841636051914173,LOW
KOTA SURABAYA,3578,1062,574,-488,-45.951035781544256,0,0,0,0,0,Normal,3578,0.2443564165441921,1466838.3657513435,64.744981749936,0.0680306406187533,2112044.5662476434,-8.128403515748264,114.16872724684622,0.0003913175589652,0.0016014178777363,0,0.4595103578154426,0,1,0.0,0.14884728503617084,0.05827992249217469,0.07702289076212075,LOW
