nama_kabupaten_kota;kode_kabupaten_kota_x;2024;2025;change_abs;change_pct;pattern_sudden_appearance;pattern_sudden_disappearance;pattern_extreme_increase;pattern_extreme_decrease;anomaly_flag;signature_type;kode_kabupaten_kota_y;poverty_rate;population;hdi;unemployment_rate;avg_income;latitude;longitude;recipients_per_capita;coverage_ratio;mismatch_indicator;volatility_score;high_risk_population;low_hdi;rule_score;stat_score;spatial_score;hybrid_risk_score;risk_category;justification;audit_priority
KABUPATEN SUMENEP;3529;819;7690;6871;500.0;0;0;1;0;1;C: Extreme Increase;3529;0.094421562094146;19.772.323.579.706.000;7.327.003.538.216.110;0.141398227510527;2.281.945.819.522.600;-7.428.106.115.949.900;11.301.415.962.256.500;0.0038892728412658;0.0411903159588425;1;5.0;1;0;0.5;0.9347418644784318;1.0;0.8238967457913726;HIGH;⚠️ Pelanggaran aturan eligibility;
KABUPATEN PAMEKASAN;3528;1112;5730;4618;4.152.877.697.841.720;0;0;1;0;1;C: Extreme Increase;3528;0.1334822006297558;6.019.378.538.869.090;6.202.943.085.732.060;0.031854793983464;3.126.748.857.919.830;-76.761.600.029.408.100;11.429.080.584.498.700;0.009519239309773;0.0713139025677025;0;4.152.877.697.841.720;0;1;0.2;1.0;0.7078551199880758;0.6723565359964228;HIGH;📊 Anomali statistik signifikan;
KABUPATEN BONDOWOSO;3511;860;5064;4204;4.888.372.093.023.250;0;0;1;0;1;C: Extreme Increase;3511;0.2116240759128834;10.989.047.266.674.300;6.483.704.581.800.900;0.0771717269600112;42.223.058.532.626.100;-754.385.514.775.269;11.265.715.119.773.100;0.004608220593551;0.0217754286773128;0;4.888.372.093.023.250;0;1;0.2;0.7906335722201598;0.6085854821881055;0.5588290735444956;MEDIUM;📊 Anomali statistik signifikan;
KABUPATEN BANYUWANGI;3510;1162;5380;4218;3.629.948.364.888.120;0;0;1;0;1;C: Extreme Increase;3510;0.2359395304685146;27.706.647.149.166.300;7.059.301.156.712.010;0.1467612665702934;4.632.119.215.783.860;-7.689.047.317.584.840;11.272.065.556.290.800;0.0019417716006067;0.0082299448812028;0;3.629.948.364.888.120;1;1;0.2;0.7057763290519767;0.6556863914145178;0.5390164490451461;MEDIUM;📊 Anomali statistik signifikan;
KOTA BATU;3579;412;1312;900;2.184.466.019.417.470;0;0;1;0;1;C: Extreme Increase;3579;0.2424894589884222;28.418.249.718.418.300;6.650.799.396.318.530;0.0503391296023311;4.467.801.681.978.970;-7.966.040.982.023.100;11.168.526.897.176.200;0.000461674998047;0.0019038950908426;0;2.184.466.019.417.470;1;1;0.2;0.5714856090600162;0.0493367118795647;0.3033952571878759;MEDIUM;📊 Anomali statistik signifikan;
KABUPATEN NGANJUK;3518;1094;240;-854;-7.806.215.722.120.650;0;1;0;1;1;B: Sudden Disappearance;3518;0.2114880310328125;1.094.093.859.980.990;745.191.135.774.048;0.0534291585357653;4.601.216.955.740.310;-7.841.542.868.941.540;11.231.114.415.119.200;0.0002193594072859;0.0010372154806849;0;0.7806215722120659;0;0;0.4;0.3176659377860447;0.1080637949023699;0.2794855135851288;LOW; Hilang tiba-tiba (High→0);
KOTA BLITAR;3572;819;1448;629;7.680.097.680.097.680;0;0;0;0;0;Normal;3572;0.1175230342807256;5.414.695.723.196.400;6.321.616.102.834.990;0.1459985782852403;21.078.268.213.902.200;-8.080.099.154.581.080;11.325.150.876.454.800;0.002674198883601;0.022754363137417;0;0.7680097680097682;0;1;0.0;0.4695522150048998;0.0696079892681472;0.2087032827824041;LOW;✅ Pola normal;7
KOTA KEDIRI;3571;912;223;-689;-755.482.456.140.351;0;0;0;1;1;D: Extreme Decrease;3571;0.0739730734667365;2.193.910.904.605.700;6.010.123.167.692.430;0.0813820977980777;3.734.840.422.988.520;-7.509.703.934.923.400;11.235.859.474.172.200;0.000101644919986;0.0013740721487048;0;0.7554824561403509;1;1;0.1;0.3200584065971925;0.1105977045759427;0.1912026740116598;LOW;📉 Penurunan ekstrem (-76%);8
KOTA PROBOLINGGO;3574;995;2011;1016;10.211.055.276.381.900;0;0;0;0;0;Normal;3574;0.114640586404151;10.662.394.379.948.400;7.383.790.395.385.380;0.1323611346560832;362.793.390.412.273;-7.393.154.624.956.340;11.290.965.876.260.500;0.001886066152004;0.0164518740722284;0;10.211.055.276.381.900;0;0;0.0;0.3452651763411904;0.1535251155164704;0.1841636051914173;LOW;✅ Pola normal;9
KABUPATEN JEMBER;3509;859;306;-553;-6.437.718.277.066.350;0;0;0;1;1;D: Extreme Decrease;3509;0.0822442574508008;11.966.161.605.915.200;7.110.401.623.198.920;0.05927875720549;35.549.889.570.912.100;-7.702.968.052.647.770;11.134.241.956.227.800;0.0002557208855744;0.0031092566074475;0;0.6437718277066357;0;0;0.1;0.1774091806455013;0.098226263228499;0.1304315512267502;LOW;📉 Penurunan ekstrem (-64%);10
