id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penerima_bantuan_sosial,tahun,periode_update,satuan
1,35,JAWA TIMUR,3501,KABUPATEN PACITAN,1149,2024,2024-12,PENERIMA MANFAAT
2,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,958,2024,2024-12,PENERIMA MANFAAT
3,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,1194,2024,2024-12,PENERIMA MANFAAT
4,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,1456,2024,2024-12,PENERIMA MANFAAT
5,35,JAWA TIMUR,3505,KABUPATEN BLITAR,929,2024,2024-12,PENERIMA MANFAAT
6,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,929,2024,2024-12,PENERIMA MANFAAT
7,35,JAWA TIMUR,3507,KABUPATEN MALANG,1473,2024,2024-12,PENERIMA MANFAAT
8,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,1230,2024,2024-12,PENERIMA MANFAAT
9,35,JAWA TIMUR,3509,KABUPATEN JEMBER,859,2024,2024-12,PENERIMA MANFAAT
10,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,1162,2024,2024-12,PENERIMA MANFAAT
11,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,860,2024,2024-12,PENERIMA MANFAAT
12,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,860,2024,2024-12,PENERIMA MANFAAT
13,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,1072,2024,2024-12,PENERIMA MANFAAT
14,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,426,2024,2024-12,PENERIMA MANFAAT
15,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,482,2024,2024-12,PENERIMA MANFAAT
16,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,831,2024,2024-12,PENERIMA MANFAAT
17,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,696,2024,2024-12,PENERIMA MANFAAT
18,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,1094,2024,2024-12,PENERIMA MANFAAT
19,35,JAWA TIMUR,3519,KABUPATEN MADIUN,727,2024,2024-12,PENERIMA MANFAAT
20,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,576,2024,2024-12,PENERIMA MANFAAT
21,35,JAWA TIMUR,3521,KABUPATEN NGAWI,1439,2024,2024-12,PENERIMA MANFAAT
22,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,932,2024,2024-12,PENERIMA MANFAAT
23,35,JAWA TIMUR,3523,KABUPATEN TUBAN,1020,2024,2024-12,PENERIMA MANFAAT
24,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,572,2024,2024-12,PENERIMA MANFAAT
25,35,JAWA TIMUR,3525,KABUPATEN GRESIK,836,2024,2024-12,PENERIMA MANFAAT
26,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,1033,2024,2024-12,PENERIMA MANFAAT
27,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,654,2024,2024-12,PENERIMA MANFAAT
28,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,1112,2024,2024-12,PENERIMA MANFAAT
29,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,819,2024,2024-12,PENERIMA MANFAAT
30,35,JAWA TIMUR,3571,KOTA KEDIRI,912,2024,2024-12,PENERIMA MANFAAT
