nama_kabupaten_kota,kode_kabupaten_kota,2024,2025,change_abs,change_pct,pattern_sudden_appearance,pattern_sudden_disappearance,pattern_extreme_increase,pattern_extreme_decrease,anomaly_flag,signature_type
KABUPATEN BANGKALAN,3526,1033,769,-264,-25.556631171345597,0,0,0,0,0,Normal
KABUPATEN BANYUWANGI,3510,1162,5380,4218,362.9948364888124,0,0,1,0,1,C: Extreme Increase
KABUPATEN BLITAR,3505,929,965,36,3.8751345532831003,0,0,0,0,0,Normal
KABUPATEN BOJONEGORO,3522,932,1072,140,15.021459227467812,0,0,0,0,0,Normal
KABUPATEN BONDOWOSO,3511,860,5064,4204,488.8372093023256,0,0,1,0,1,C: Extreme Increase
KABUPATEN GRESIK,3525,836,926,90,10.76555023923445,0,0,0,0,0,Normal
KABUPATEN JEMBER,3509,859,306,-553,-64.37718277066357,0,0,0,1,1,D: Extreme Decrease
KABUPATEN JOMBANG,3517,696,1279,583,83.76436781609196,0,0,0,0,0,Normal
KABUPATEN KEDIRI,3506,929,909,-20,-2.1528525296017222,0,0,0,0,0,Normal
KABUPATEN LAMONGAN,3524,572,269,-303,-52.972027972027966,0,0,0,1,1,D: Extreme Decrease
KABUPATEN LUMAJANG,3508,1230,784,-446,-36.260162601626014,0,0,0,0,0,Normal
KABUPATEN MADIUN,3519,727,1209,482,66.29986244841815,0,0,0,0,0,Normal
KABUPATEN MAGETAN,3520,576,1052,476,82.63888888888889,0,0,0,0,0,Normal
KABUPATEN MALANG,3507,1473,556,-917,-62.253903598099114,0,0,0,1,1,D: Extreme Decrease
KABUPATEN MOJOKERTO,3516,831,761,-70,-8.42358604091456,0,0,0,0,0,Normal
KABUPATEN NGANJUK,3518,1094,240,-854,-78.06215722120659,0,1,0,1,1,B: Sudden Disappearance
KABUPATEN NGAWI,3521,1439,1198,-241,-16.74774148714385,0,0,0,0,0,Normal
KABUPATEN PACITAN,3501,1149,601,-548,-47.693646649260224,0,0,0,0,0,Normal
KABUPATEN PAMEKASAN,3528,1112,5730,4618,415.28776978417267,0,0,1,0,1,C: Extreme Increase
KABUPATEN PASURUAN,3514,426,917,491,115.25821596244133,0,0,0,0,0,Normal
KABUPATEN PONOROGO,3502,958,1059,101,10.542797494780794,0,0,0,0,0,Normal
KABUPATEN PROBOLINGGO,3513,1072,986,-86,-8.022388059701493,0,0,0,0,0,Normal
KABUPATEN SAMPANG,3527,654,1363,709,108.4097859327217,0,0,0,0,0,Normal
KABUPATEN SIDOARJO,3515,482,531,49,10.16597510373444,0,0,0,0,0,Normal
KABUPATEN SITUBONDO,3512,860,884,24,2.7906976744186047,0,0,0,0,0,Normal
KABUPATEN SUMENEP,3529,819,7690,6871,500.0,0,0,1,0,1,C: Extreme Increase
KABUPATEN TRENGGALEK,3503,1194,1221,27,2.261306532663317,0,0,0,0,0,Normal
KABUPATEN TUBAN,3523,1020,949,-71,-6.96078431372549,0,0,0,0,0,Normal
KABUPATEN TULUNGAGUNG,3504,1456,1051,-405,-27.815934065934066,0,0,0,0,0,Normal
KOTA BATU,3579,412,1312,900,218.44660194174756,0,0,1,0,1,C: Extreme Increase
KOTA BLITAR,3572,819,1448,629,76.80097680097681,0,0,0,0,0,Normal
KOTA KEDIRI,3571,912,223,-689,-75.5482456140351,0,0,0,1,1,D: Extreme Decrease
KOTA MADIUN,3577,633,981,348,54.976303317535546,0,0,0,0,0,Normal
KOTA MALANG,3573,1555,1101,-454,-29.19614147909968,0,0,0,0,0,Normal
KOTA MOJOKERTO,3576,1246,880,-366,-29.373996789727126,0,0,0,0,0,Normal
KOTA PASURUAN,3575,682,723,41,6.011730205278592,0,0,0,0,0,Normal
KOTA PROBOLINGGO,3574,995,2011,1016,102.11055276381909,0,0,0,0,0,Normal
KOTA SURABAYA,3578,1062,574,-488,-45.951035781544256,0,0,0,0,0,Normal
