nama_kabupaten_kota,kode_kabupaten_kota_x,2024,2025,change_abs,change_pct,pattern_sudden_appearance,pattern_sudden_disappearance,pattern_extreme_increase,pattern_extreme_decrease,anomaly_flag,signature_type,kode_kabupaten_kota_y,poverty_rate,population,hdi,unemployment_rate,avg_income,latitude,longitude,recipients_per_capita,coverage_ratio,mismatch_indicator,volatility_score,high_risk_population,low_hdi,rule_score,stat_score,spatial_score,hybrid_risk_score,risk_category,justification,audit_priority
KABUPATEN SUMENEP,3529,819,7690,6871,500.0,0,0,1,0,1,C: Extreme Increase,3529,0.094421562094146,1977232.3579706044,73.27003538216111,0.141398227510527,2281945.819522607,-7.428106115949906,113.01415962256556,0.0038892728412658,0.0411903159588425,1,5.0,1,0,0.5,0.9347418644784318,1.0,0.8238967457913726,HIGH,⚠️ Pelanggaran aturan eligibility; 📊 Anomali statistik signifikan; 🗺️ Deviasi dari wilayah tetangga; 📈 Kenaikan ekstrem (500%),1
KABUPATEN PAMEKASAN,3528,1112,5730,4618,415.2877697841727,0,0,1,0,1,C: Extreme Increase,3528,0.1334822006297558,601937.8538869098,62.02943085732064,0.031854793983464,3126748.857919832,-7.6761600029408195,114.29080584498736,0.009519239309773,0.0713139025677025,0,4.152877697841727,0,1,0.2,1.0,0.7078551199880758,0.6723565359964228,HIGH,📊 Anomali statistik signifikan; 🗺️ Deviasi dari wilayah tetangga; 📈 Kenaikan ekstrem (415%),2
KABUPATEN BONDOWOSO,3511,860,5064,4204,488.8372093023256,0,0,1,0,1,C: Extreme Increase,3511,0.2116240759128834,1098904.7266674312,64.83704581800903,0.0771717269600112,4222305.8532626135,-7.54385514775269,112.65715119773198,0.004608220593551,0.0217754286773128,0,4.888372093023256,0,1,0.2,0.7906335722201598,0.6085854821881055,0.5588290735444956,MEDIUM,📊 Anomali statistik signifikan; 🗺️ Deviasi dari wilayah tetangga; 📈 Kenaikan ekstrem (489%),3
KABUPATEN BANYUWANGI,3510,1162,5380,4218,362.9948364888124,0,0,1,0,1,C: Extreme Increase,3510,0.2359395304685146,2770664.7149166344,70.59301156712013,0.1467612665702934,4632119.215783866,-7.689047317584841,112.72065556290892,0.0019417716006067,0.0082299448812028,0,3.629948364888124,1,1,0.2,0.7057763290519767,0.6556863914145178,0.5390164490451461,MEDIUM,📊 Anomali statistik signifikan; 🗺️ Deviasi dari wilayah tetangga; 📈 Kenaikan ekstrem (363%),4
KOTA BATU,3579,412,1312,900,218.4466019417476,0,0,1,0,1,C: Extreme Increase,3579,0.2424894589884222,2841824.9718418363,66.50799396318536,0.0503391296023311,4467801.681978975,-7.966040982023108,111.68526897176254,0.000461674998047,0.0019038950908426,0,2.184466019417476,1,1,0.2,0.5714856090600162,0.0493367118795647,0.3033952571878759,MEDIUM,📊 Anomali statistik signifikan; 📈 Kenaikan ekstrem (218%),5
KABUPATEN NGANJUK,3518,1094,240,-854,-78.06215722120659,0,1,0,1,1,B: Sudden Disappearance,3518,0.2114880310328125,1094093.859980999,74.5191135774048,0.0534291585357653,4601216.955740311,-7.841542868941546,112.31114415119264,0.0002193594072859,0.0010372154806849,0,0.7806215722120659,0,0,0.4,0.3176659377860447,0.1080637949023699,0.2794855135851288,LOW, Hilang tiba-tiba (High→0); 📉 Penurunan ekstrem (-78%),6
KOTA BLITAR,3572,819,1448,629,76.80097680097681,0,0,0,0,0,Normal,3572,0.1175230342807256,541469.5723196404,63.21616102834997,0.1459985782852403,2107826.8213902265,-8.080099154581086,113.25150876454823,0.002674198883601,0.022754363137417,0,0.7680097680097682,0,1,0.0,0.4695522150048998,0.0696079892681472,0.2087032827824041,LOW,✅ Pola normal,7
KOTA KEDIRI,3571,912,223,-689,-75.5482456140351,0,0,0,1,1,D: Extreme Decrease,3571,0.0739730734667365,2193910.904605706,60.10123167692437,0.0813820977980777,3734840.422988522,-7.509703934923403,112.35859474172284,0.000101644919986,0.0013740721487048,0,0.7554824561403509,1,1,0.1,0.3200584065971925,0.1105977045759427,0.1912026740116598,LOW,📉 Penurunan ekstrem (-76%),8
KOTA PROBOLINGGO,3574,995,2011,1016,102.11055276381909,0,0,0,0,0,Normal,3574,0.114640586404151,1066239.4379948447,73.83790395385387,0.1323611346560832,3627933.90412273,-7.393154624956347,112.90965876260576,0.001886066152004,0.0164518740722284,0,1.0211055276381908,0,0,0.0,0.3452651763411904,0.1535251155164704,0.1841636051914173,LOW,✅ Pola normal,9
KABUPATEN JEMBER,3509,859,306,-553,-64.37718277066357,0,0,0,1,1,D: Extreme Decrease,3509,0.0822442574508008,1196616.1605915288,71.10401623198925,0.05927875720549,3554988.9570912104,-7.702968052647778,111.34241956227852,0.0002557208855744,0.0031092566074475,0,0.6437718277066357,0,0,0.1,0.1774091806455013,0.098226263228499,0.1304315512267502,LOW,📉 Penurunan ekstrem (-64%),10
